Corp ID,Corp Name,"ELA
Pass N","ELA
Test N","ELA
Pass Percent","Math
Pass N","Math
Test N","Math
Pass Percent","Both Math and ELA
Pass N","Both Math and ELA
Test N","Both Math and ELA
Pass Percent","ELA
Pass N","ELA
Test N","ELA
Pass Percent","Math
Pass N","Math
Test N","Math
Pass Percent","Both Math and ELA
Pass N","Both Math and ELA
Test N","Both Math and ELA
Pass Percent",Total Pass
0015,Adams Central Community Schools,315,428,73.6%,320,429,74.6%,276,428,64.5%,81,142,57.0%,73,143,51.0%,61,142,43.0%,337
0025,North Adams Community Schools,199,280,71.1%,160,278,57.6%,142,278,51.1%,182,396,46.0%,139,394,35.3%,102,393,26.0%,244
0035,South Adams Schools,237,296,80.1%,238,296,80.4%,209,296,70.6%,131,224,58.5%,129,223,57.8%,98,223,43.9%,307
0125,M S D Southwest Allen County Schls,2316,2831,81.8%,2113,2838,74.5%,1973,2823,69.9%,291,534,54.5%,253,538,47.0%,206,533,38.6%,2179
0225,Northwest Allen County Schools,2202,2722,80.9%,2054,2723,75.4%,1874,2719,68.9%,448,701,63.9%,372,702,53.0%,317,700,45.3%,2191
0235,Fort Wayne Community Schools,2765,4062,68.1%,2448,4089,59.9%,2163,4058,53.3%,4092,8693,47.1%,3444,8750,39.4%,2768,8672,31.9%,4931
0255,East Allen County Schools,1505,1838,81.9%,1362,1839,74.1%,1281,1837,69.7%,1182,2215,53.4%,909,2225,40.9%,782,2213,35.3%,2063
0365,Bartholomew Con School Corp,1981,2502,79.2%,1959,2504,78.2%,1774,2501,70.9%,1191,2456,48.5%,1076,2460,43.7%,846,2452,34.5%,2620
0370,Flat Rock-Hawcreek School Corp,167,221,75.6%,174,221,78.7%,155,221,70.1%,102,192,53.1%,114,193,59.1%,84,192,43.8%,239
0395,Benton Community School Corp,307,423,72.6%,306,423,72.3%,270,423,63.8%,211,412,51.2%,183,412,44.4%,141,412,34.2%,411
0515,Blackford County Schools,223,284,78.5%,217,283,76.7%,192,283,67.8%,252,417,60.4%,230,418,55.0%,193,417,46.3%,385
0615,Western Boone Co Com Sch Dist,357,467,76.4%,343,467,73.4%,312,467,66.8%,166,285,58.2%,159,285,55.8%,126,285,44.2%,438
0630,Zionsville Community Schools,2643,3039,87.0%,2473,3042,81.3%,2329,3036,76.7%,102,163,62.6%,80,168,47.6%,66,163,40.5%,2395
0665,Lebanon Community School Corp,695,892,77.9%,695,892,77.9%,614,891,68.9%,368,697,52.8%,364,698,52.1%,281,697,40.3%,895
0670,Brown County School Corporation,281,372,75.5%,282,373,75.6%,248,372,66.7%,265,452,58.6%,268,452,59.3%,218,452,48.2%,466
0750,Carroll Consolidated School Corp,227,319,71.2%,191,320,59.7%,175,319,54.9%,109,216,50.5%,84,217,38.7%,73,216,33.8%,248
0755,Delphi Community School Corp,218,277,78.7%,199,277,71.8%,187,277,67.5%,221,379,58.3%,190,379,50.1%,169,378,44.7%,356
0775,Pioneer Regional School Corp,149,223,66.8%,129,223,57.8%,111,223,49.8%,105,213,49.3%,98,213,46.0%,71,213,33.3%,182
0815,Lewis Cass Schools,248,334,74.3%,215,334,64.4%,195,334,58.4%,132,235,56.2%,115,237,48.5%,88,235,37.4%,283
0875,Logansport Community Sch Corp,457,715,63.9%,408,717,56.9%,350,715,49.0%,519,1143,45.4%,443,1147,38.6%,350,1141,30.7%,700
0940,West Clark Community Schools,986,1375,71.7%,894,1378,64.9%,791,1375,57.5%,361,671,53.8%,291,674,43.2%,229,671,34.1%,1020
1000,Clarksville Community School Corp,132,184,71.7%,120,183,65.6%,106,183,57.9%,239,395,60.5%,185,395,46.8%,155,393,39.4%,261
1010,Greater Clark County Schools,1407,1828,77.0%,1271,1829,69.5%,1154,1827,63.2%,1506,2719,55.4%,1238,2723,45.5%,1042,2714,38.4%,2196
1125,Clay Community Schools,643,814,79.0%,684,815,83.9%,591,814,72.6%,627,1037,60.5%,626,1038,60.3%,504,1036,48.6%,1095
1150,Clinton Central School Corporation,168,215,78.1%,148,215,68.8%,134,215,62.3%,105,209,50.2%,95,209,45.5%,73,209,34.9%,207
1160,Clinton Prairie School Corporation,194,307,63.2%,207,307,67.4%,167,307,54.4%,138,267,51.7%,139,269,51.7%,103,267,38.6%,270
1170,Community Schools of Frankfort,151,249,60.6%,154,249,61.8%,127,247,51.4%,507,1152,44.0%,487,1154,42.2%,350,1147,30.5%,477
1180,Rossville Con School District,224,299,74.9%,217,299,72.6%,190,298,63.8%,73,138,52.9%,64,138,46.4%,52,138,37.7%,242
1300,Crawford County Community Sch Corp,182,223,81.6%,170,223,76.2%,159,223,71.3%,264,446,59.2%,246,447,55.0%,203,446,45.5%,362
1315,Barr-Reeve Community Schools Inc,248,292,84.9%,258,292,88.4%,234,292,80.1%,106,133,79.7%,109,133,82.0%,98,133,73.7%,332
1375,North Daviess Com Schools,243,302,80.5%,220,302,72.8%,207,302,68.5%,165,235,70.2%,120,235,51.1%,111,235,47.2%,318
1405,Washington Community Schools,281,363,77.4%,269,364,73.9%,237,363,65.3%,373,842,44.3%,358,845,42.4%,262,842,31.1%,499
1560,Sunman-Dearborn Com Sch Corp,976,1258,77.6%,917,1260,72.8%,836,1258,66.5%,231,429,53.8%,201,429,46.9%,164,429,38.2%,1000
1600,South Dearborn Community Sch Corp,384,524,73.3%,349,525,66.5%,312,524,59.5%,269,535,50.3%,240,534,44.9%,190,534,35.6%,502
1620,Lawrenceburg Community School Corp,400,509,78.6%,348,509,68.4%,317,509,62.3%,238,380,62.6%,206,382,53.9%,167,380,43.9%,484
1655,Decatur County Community Schools,347,430,80.7%,349,430,81.2%,323,430,75.1%,254,454,55.9%,244,455,53.6%,194,454,42.7%,517
1730,Greensburg Community Schools,354,420,84.3%,309,419,73.7%,288,419,68.7%,341,538,63.4%,286,537,53.3%,238,535,44.5%,526
1805,DeKalb Co Eastern Com Sch Dist,228,330,69.1%,232,332,69.9%,191,330,57.9%,138,317,43.5%,146,319,45.8%,104,317,32.8%,295
1820,Garrett-Keyser-Butler Com Sch Corp,264,388,68.0%,251,387,64.9%,223,387,57.6%,209,416,50.2%,182,416,43.8%,144,414,34.8%,367
1835,DeKalb Co Ctl United Sch Dist,668,875,76.3%,658,875,75.2%,577,875,65.9%,392,655,59.8%,370,658,56.2%,300,654,45.9%,877
1875,Delaware Community School Corp,548,638,85.9%,498,638,78.1%,466,638,73.0%,372,560,66.4%,324,560,57.9%,269,560,48.0%,735
1885,Wes-Del Community Schools,120,174,69.0%,101,175,57.7%,87,174,50.0%,105,220,47.7%,88,222,39.6%,70,220,31.8%,157
1895,Liberty-Perry Community Sch Corp,199,270,73.7%,206,269,76.6%,179,269,66.5%,167,291,57.4%,164,293,56.0%,133,290,45.9%,312
1900,Cowan Community School Corp,148,198,74.7%,141,198,71.2%,116,197,58.9%,122,196,62.2%,111,197,56.3%,90,196,45.9%,206
1910,Yorktown Community Schools,554,729,76.0%,552,729,75.7%,499,729,68.4%,198,406,48.8%,209,406,51.5%,153,406,37.7%,652
1940,Daleville Community Schools,149,219,68.0%,143,219,65.3%,128,219,58.4%,124,223,55.6%,101,223,45.3%,88,223,39.5%,216
1970,Muncie Community Schools,287,454,63.2%,255,453,56.3%,225,452,49.8%,676,1805,37.5%,574,1825,31.5%,426,1799,23.7%,651
2040,Northeast Dubois Co Sch Corp,213,283,75.3%,229,283,80.9%,197,283,69.6%,51,90,56.7%,56,90,62.2%,40,90,44.4%,237
2100,Southeast Dubois Co Sch Corp,373,446,83.6%,391,445,87.9%,353,445,79.3%,87,140,62.1%,107,141,75.9%,78,140,55.7%,431
2110,Southwest Dubois Co Sch Corp,277,392,70.7%,292,394,74.1%,250,392,63.8%,190,385,49.4%,190,385,49.4%,141,384,36.7%,391
2120,Greater Jasper Consolidated Schs,713,859,83.0%,690,858,80.4%,644,858,75.1%,301,498,60.4%,272,498,54.6%,230,498,46.2%,874
2155,Fairfield Community Schools,590,792,74.5%,544,792,68.7%,481,792,60.7%,136,251,54.2%,124,251,49.4%,99,250,39.6%,580
2260,Baugo Community Schools,344,495,69.5%,393,494,79.6%,320,494,64.8%,198,400,49.5%,221,401,55.1%,166,400,41.5%,486
2270,Concord Community Schools,722,967,74.7%,667,968,68.9%,595,959,62.0%,727,1398,52.0%,697,1409,49.5%,531,1390,38.2%,1126
2275,Middlebury Community Schools,1099,1503,73.1%,1093,1498,73.0%,943,1496,63.0%,311,636,48.9%,311,634,49.1%,227,632,35.9%,1170
2285,Wa-Nee Community Schools,740,929,79.7%,740,933,79.3%,662,926,71.5%,295,496,59.5%,289,501,57.7%,235,494,47.6%,897
2305,Elkhart Community Schools,1107,1725,64.2%,1025,1728,59.3%,881,1723,51.1%,1581,4004,39.5%,1406,4026,34.9%,1053,3989,26.4%,1934
2315,Goshen Community Schools,703,974,72.2%,629,975,64.5%,566,973,58.2%,943,2071,45.5%,830,2072,40.1%,647,2065,31.3%,1213
2395,Fayette County School Corporation,421,540,78.0%,388,540,71.9%,346,540,64.1%,575,960,59.9%,491,962,51.0%,410,958,42.8%,756
2400,New Albany-Floyd Co Con Sch,2332,2906,80.2%,2371,2910,81.5%,2129,2905,73.3%,1123,2163,51.9%,1052,2166,48.6%,841,2160,38.9%,2970
2435,Attica Consolidated School Corp,100,131,76.3%,83,131,63.4%,75,131,57.3%,78,142,54.9%,51,142,35.9%,47,142,33.1%,122
2440,Covington Community School Corp,189,237,79.7%,184,237,77.6%,166,237,70.0%,101,167,60.5%,91,167,54.5%,76,167,45.5%,242
2455,Southeast Fountain School Corp,155,203,76.4%,144,203,70.9%,131,203,64.5%,146,228,64.0%,120,229,52.4%,106,228,46.5%,237
2475,Franklin County Community Sch Corp,352,485,72.6%,340,486,70.0%,295,485,60.8%,287,521,55.1%,260,522,49.8%,209,520,40.2%,504
2645,Rochester Community School Corp,269,380,70.8%,242,380,63.7%,214,380,56.3%,175,426,41.1%,150,426,35.2%,107,425,25.2%,321
2650,Caston School Corporation,131,185,70.8%,108,185,58.4%,98,185,53.0%,75,128,58.6%,49,129,38.0%,41,128,32.0%,139
2725,East Gibson School Corporation,131,213,61.5%,130,212,61.3%,108,212,50.9%,90,194,46.4%,67,194,34.5%,59,194,30.4%,167
2735,North Gibson School Corporation,268,408,65.7%,248,407,60.9%,207,407,50.9%,229,501,45.7%,192,502,38.2%,140,501,27.9%,347
2765,South Gibson School Corporation,504,638,79.0%,472,638,74.0%,432,638,67.7%,143,245,58.4%,115,245,46.9%,96,244,39.3%,528
2815,Eastbrook Community Sch Corp,294,405,72.6%,257,406,63.3%,230,405,56.8%,191,334,57.2%,156,334,46.7%,129,334,38.6%,359
2825,Madison-Grant United School Corp,178,238,74.8%,163,239,68.2%,141,238,59.2%,149,289,51.6%,116,290,40.0%,93,289,32.2%,234
2855,Mississinewa Community School Corp,293,376,77.9%,271,376,72.1%,254,376,67.6%,307,667,46.0%,295,666,44.3%,218,666,32.7%,472
2865,Marion Community Schools,248,429,57.8%,238,433,55.0%,195,428,45.6%,392,1101,35.6%,320,1104,29.0%,226,1100,20.5%,421
2920,Bloomfield School District,165,225,73.3%,165,225,73.3%,140,225,62.2%,88,166,53.0%,74,166,44.6%,61,166,36.7%,201
